srad,RH,wind,prec,tmax,tmin,year,month,mday
94,64.05213,2.5219955,2.400055,6.079986572,2.510009766,1995,3,17
242.75,59.29063,2.369999,0.060058594,11.26998901,4.709991455,1995,3,18
241.75,56.2172,3.1219978,0.060058594,15.51998901,7.940002441,1995,3,19
247,72.82158,2.211998,0,18.17999268,9.239990234,1995,3,20
232.25,69.83003,1.9899979,0,21.51000977,12.48999023,1995,3,21
238.5,73.37874,3.119999,0.17999268,23.70001221,11.73001099,1995,3,22
54.25,92.07705,3.9259987,3.3000183,12.92001343,10.73999023,1995,3,23
59,91.26141,4.843998,13.320007,10.32000732,6.130004883,1995,3,24
69.25,71.544205,3.8119965,1.440033,8.980010986,5.049987793,1995,3,25
263,62.659813,2.6139984,0.060058594,13.32000732,6.760009766,1995,3,26
245.25,65.15738,3.4279976,0.060058594,17.60998535,9.299987793,1995,3,27
101.5,83.820366,4.787998,1.3200073,13.26000977,9.75,1995,3,28
57.25,90.71614,2.9319954,4.5,11.76000977,9.959991455,1995,3,29
139.75,84.055664,1.8939972,4.019989,13.17999268,8.260009766,1995,3,30
198,80.87748,2.9439964,0.060058594,15.20999146,5.739990234,1995,3,31
268,64.321304,3.577999,0,13.70001221,7.859985352,1995,4,1
178,67.48255,4.357998,0,11.11999512,3.630004883,1995,4,2
275.75,55.673958,3.449997,0,11.33999634,5.220001221,1995,4,3
203.75,75.987206,3.0439987,0,14.30999756,7.950012207,1995,4,4
239.75,70.81873,0.6499977,0,18.92999268,11.88000488,1995,4,5
234.75,74.1716,2.093998,0.120025635,21.17001343,10.16000366,1995,4,6
218.75,73.78808,2.0199966,0,18.88998413,12.76000977,1995,4,7
109,75.32637,1.8619957,4.440033,23.91000366,15.22000122,1995,4,8
63.5,80.222115,3.3359985,1.7400513,14.61999512,8.760009766,1995,4,9
63.75,77.87441,4.433998,0,11.07000732,7.769989014,1995,4,10
80,75.75898,4.0179977,0.060058594,14.10998535,9.260009766,1995,4,11
282.25,52.361637,3.7479973,1.2600403,18.67999268,11.54000854,1995,4,12
